activity,institution,source,experiment,member,frequency,xrfreq,variable,domain,path,date_start,date_end,version,id,processing_level,format,mip_era
ScenarioMIP,NCC,NorESM2-MM,ssp126,r1i1p1f1,day,D,"('pr',)",gn,gs://cmip6/CMIP6/ScenarioMIP/NCC/NorESM2-MM/ssp126/r1i1p1f1/day/pr/gn/v20191108/,2015-01-01,2100-12-31,20191108,ScenarioMIP_NCC_NorESM2-MM_ssp126_r1i1p1f1_gn,raw,zarr,CMIP6
ScenarioMIP,NCC,NorESM2-MM,ssp126,r1i1p1f1,day,D,"('tasmax',)",gn,gs://cmip6/CMIP6/ScenarioMIP/NCC/NorESM2-MM/ssp126/r1i1p1f1/day/tasmax/gn/v20191108/,2015-01-01,2100-12-31,20191108,ScenarioMIP_NCC_NorESM2-MM_ssp126_r1i1p1f1_gn,raw,zarr,CMIP6
ScenarioMIP,NOAA-GFDL,GFDL-CM4,ssp585,r1i1p1f1,day,D,"('tasmin',)",gr2,gs://cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp585/r1i1p1f1/day/tasmin/gr2/v20180701/,2015-01-01,2100-12-31,20180701,ScenarioMIP_NOAA-GFDL_GFDL-CM4_ssp585_r1i1p1f1_gr2,raw,zarr,CMIP6
ScenarioMIP,NOAA-GFDL,GFDL-CM4,ssp585,r1i1p1f1,day,D,"('tasmin',)",gr1,gs://cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp585/r1i1p1f1/day/tasmin/gr1/v20180701/,2015-01-01,2100-12-31,20180701,ScenarioMIP_NOAA-GFDL_GFDL-CM4_ssp585_r1i1p1f1_gr1,raw,zarr,CMIP6
ScenarioMIP,NOAA-GFDL,GFDL-CM4,ssp585,r1i1p1f1,day,D,"('tasmax',)",gr2,gs://cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp585/r1i1p1f1/day/tasmax/gr2/v20180701/,2015-01-01,2100-12-31,20180701,ScenarioMIP_NOAA-GFDL_GFDL-CM4_ssp585_r1i1p1f1_gr2,raw,zarr,CMIP6
ScenarioMIP,NOAA-GFDL,GFDL-CM4,ssp585,r1i1p1f1,day,D,"('tasmax',)",gr1,gs://cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp585/r1i1p1f1/day/tasmax/gr1/v20180701/,2015-01-01,2100-12-31,20180701,ScenarioMIP_NOAA-GFDL_GFDL-CM4_ssp585_r1i1p1f1_gr1,raw,zarr,CMIP6
ScenarioMIP,NOAA-GFDL,GFDL-CM4,ssp585,r1i1p1f1,day,D,"('pr',)",gr2,gs://cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp585/r1i1p1f1/day/pr/gr2/v20180701/,2015-01-01,2100-12-31,20180701,ScenarioMIP_NOAA-GFDL_GFDL-CM4_ssp585_r1i1p1f1_gr2,raw,zarr,CMIP6
ScenarioMIP,NOAA-GFDL,GFDL-CM4,ssp585,r1i1p1f1,day,D,"('pr',)",gr1,gs://cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp585/r1i1p1f1/day/pr/gr1/v20180701/,2015-01-01,2100-12-31,20180701,ScenarioMIP_NOAA-GFDL_GFDL-CM4_ssp585_r1i1p1f1_gr1,raw,zarr,CMIP6
ScenarioMIP,NCC,NorESM2-MM,ssp585,r1i1p1f1,day,D,"('tasmin',)",gn,gs://cmip6/CMIP6/ScenarioMIP/NCC/NorESM2-MM/ssp585/r1i1p1f1/day/tasmin/gn/v20191108/,2015-01-01,2100-12-31,20191108,ScenarioMIP_NCC_NorESM2-MM_ssp585_r1i1p1f1_gn,raw,zarr,CMIP6
ScenarioMIP,NCC,NorESM2-MM,ssp585,r1i1p1f1,day,D,"('tasmax',)",gn,gs://cmip6/CMIP6/ScenarioMIP/NCC/NorESM2-MM/ssp585/r1i1p1f1/day/tasmax/gn/v20191108/,2015-01-01,2100-12-31,20191108,ScenarioMIP_NCC_NorESM2-MM_ssp585_r1i1p1f1_gn,raw,zarr,CMIP6
ScenarioMIP,NCC,NorESM2-MM,ssp585,r1i1p1f1,day,D,"('pr',)",gn,gs://cmip6/CMIP6/ScenarioMIP/NCC/NorESM2-MM/ssp585/r1i1p1f1/day/pr/gn/v20191108/,2015-01-01,2100-12-31,20191108,ScenarioMIP_NCC_NorESM2-MM_ssp585_r1i1p1f1_gn,raw,zarr,CMIP6
ScenarioMIP,NCC,NorESM2-LM,ssp585,r1i1p1f1,day,D,"('pr',)",gn,gs://cmip6/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp585/r1i1p1f1/day/pr/gn/v20191108/,2015-01-01,2100-12-31,20191108,ScenarioMIP_NCC_NorESM2-LM_ssp585_r1i1p1f1_gn,raw,zarr,CMIP6
ScenarioMIP,NCC,NorESM2-LM,ssp585,r1i1p1f1,day,D,"('tasmax',)",gn,gs://cmip6/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp585/r1i1p1f1/day/tasmax/gn/v20191108/,2015-01-01,2100-12-31,20191108,ScenarioMIP_NCC_NorESM2-LM_ssp585_r1i1p1f1_gn,raw,zarr,CMIP6
ScenarioMIP,NCC,NorESM2-LM,ssp585,r1i1p1f1,day,D,"('tasmin',)",gn,gs://cmip6/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp585/r1i1p1f1/day/tasmin/gn/v20191108/,2015-01-01,2100-12-31,20191108,ScenarioMIP_NCC_NorESM2-LM_ssp585_r1i1p1f1_gn,raw,zarr,CMIP6
CMIP,NOAA-GFDL,GFDL-CM4,historical,r1i1p1f1,fx,fx,"('sftlf',)",gr2,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/historical/r1i1p1f1/fx/sftlf/gr2/v20180701/,1985-01-01,2014-12-31,20180701,CMIP_NOAA-GFDL_GFDL-CM4_historical_r1i1p1f1_gr2,raw,zarr,CMIP6
CMIP,NOAA-GFDL,GFDL-CM4,historical,r1i1p1f1,fx,fx,"('sftlf',)",gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/historical/r1i1p1f1/fx/sftlf/gr1/v20180701/,1985-01-01,2014-12-31,20180701,CMIP_NOAA-GFDL_GFDL-CM4_historical_r1i1p1f1_gr1,raw,zarr,CMIP6
CMIP,NCC,NorESM2-MM,historical,r2i1p1f1,fx,fx,"('sftlf',)",gn,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-MM/historical/r2i1p1f1/fx/sftlf/gn/v20200218/,1985-01-01,2014-12-31,20200218,CMIP_NCC_NorESM2-MM_historical_r2i1p1f1_gn,raw,zarr,CMIP6
CMIP,NCC,NorESM2-MM,historical,r3i1p1f1,fx,fx,"('sftlf',)",gn,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-MM/historical/r3i1p1f1/fx/sftlf/gn/v20200702/,1985-01-01,2014-12-31,20200702,CMIP_NCC_NorESM2-MM_historical_r3i1p1f1_gn,raw,zarr,CMIP6
ScenarioMIP,NOAA-GFDL,GFDL-CM4,ssp585,r1i1p1f1,fx,fx,"('sftlf',)",gr2,gs://cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp585/r1i1p1f1/fx/sftlf/gr2/v20180701/,2015-01-01,2100-12-31,20180701,ScenarioMIP_NOAA-GFDL_GFDL-CM4_ssp585_r1i1p1f1_gr2,raw,zarr,CMIP6
ScenarioMIP,NOAA-GFDL,GFDL-CM4,ssp585,r1i1p1f1,fx,fx,"('sftlf',)",gr1,gs://cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp585/r1i1p1f1/fx/sftlf/gr1/v20180701/,2015-01-01,2100-12-31,20180701,ScenarioMIP_NOAA-GFDL_GFDL-CM4_ssp585_r1i1p1f1_gr1,raw,zarr,CMIP6
